bike_name	price	monthly_payment	engine_size	riding_style
2024 Yamaha YZF-R7	9999	$167/MO		
2020 Honda Fury	7999	$133/MO		
2023 Kawasaki Z650	6999	$117/MO		
2022 Kawasaki Z650RS ABS	6999	$117/MO		
2022 Kawasaki Z650RS ABS	6499	$108/MO		
2022 Suzuki GSX-R600	10999	$183/MO		
2020 Suzuki GSX-R600	10999	$183/MO		
2018 Suzuki GSX-R600	9999	$167/MO		
2023 Suzuki GSX-R750	11999	$200/MO		
2024 Kawasaki Eliminator ABS	6499	$108/MO		
2024 Kawasaki Z650RS ABS	9399	$157/MO		
2024 Suzuki GSX-R600	12999	$217/MO		
2024 Honda Rebel 1100 DCT	9499	$158/MO		
2024 Suzuki GSX-R750	13999	$233/MO		
2021 Kawasaki Vulcan S Cafe	5999	$100/MO		
2018 Yamaha YZF-R6	13999	$233/MO		
2024 Suzuki GSX-R750	13999	$233/MO		
2019 Honda CRF450L	8499	$142/MO		
2023 Kawasaki Ninja ZX-6R	13299	$222/MO		
2018 Kawasaki Ninja ZX-6R	10499	$175/MO		
2024 Kawasaki Ninja ZX-6R	13999	$233/MO		
2025 Kawasaki Ninja ZX-6R KRT Edition	14499	$242/MO		
2025 Yamaha YZF-R7	10999	$183/MO		
2023 Suzuki GSX-R750	13999	$233/MO		
2024 Yamaha MT-09	10499	$175/MO		
2021 Ducati Scrambler 11 Pro	8999	$150/MO		
2023 Kawasaki Z120 PRO	2999	$50/MO		
2022 Can-Am Ryker Rally 900 ACE	10499	$175/MO		
2022 Kawasaki Z650 50th Anniversary Edition	7999	$133/MO		
2024 Honda CBR600RR	13999	$233/MO		
2022 Honda Rebel 300	4499	$75/MO		
2024 Yamaha YZF-R7	10999	$183/MO		
2024 Honda CB1000R	12999	$217/MO		
2024 Yamaha YZF-R7	10499	$175/MO		
2024 Kawasaki Ninja 650 KRT Edition	9199	$153/MO		
2024 Kawasaki Ninja ZX-6R	14499	$242/MO		
2024 Aprilia RS 660 Extrema	13999	$233/MO		
